Fixture,Optics,Wattage,Unit,Circuit,Channel,Groups,Patch,DMX Mode,DMX Channles,Layer,Focus,Filters,Gobos,Accessories,Purpose,Note,Weight,Location,Position X,Position Y,Position Z,Rotation X,Rotation Y,Rotation Z,Focus,Pan,Focus Tilt,Invert Pan,Pan Start Limit,Pan End Limit,Invert Tilt,Tilt Start Limit,Tilt End Limit,Identifier,External Identifier
2 Dimmer 00,CP60,1000W,90' Pacific 50,,50,,50,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,6.549m,-3.98m,8.019m,-0°,58.442°,-0°,,0°,0°,No,0,0,No,0°,0°,,ed7059ec-6283-43f8-9947-11885e397cbf
2 Dimmer 00,CP60,1000W,50' ETC 75,,75,,75,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,-6.578m,-3.98m,6.587m,0°,-60.734°,0°,,0°,0°,No,0,0,No,0°,0°,,ed7059ec-6283-43f8-9947-11885e397cbf
2 Dimmer 00,CP60,1000W,50' ETC 76,,76,,76,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,6.549m,-3.98m,6.527m,-0°,60.734°,-0°,,0°,0°,No,0,0,No,0°,0°,,ed7059ec-6283-43f8-9947-11885e397cbf
2 Dimmer 00,CP60,1000W,50' ETC 77,,77,,77,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,-6.578m,-3.98m,7.303m,0°,-61.879°,0°,,0°,0°,No,0,0,No,0°,0°,,ed7059ec-6283-43f8-9947-11885e397cbf
2 Dimmer 00,CP60,1000W,50' ETC 78,,78,,78,1,1,Elsőőö torony,,,,,,-,1.8kg,Location,6.549m,-3.98m,7.243m,-0°,64.171°,-0°,,0°,0°,No,0,0,No,0°,0°,,ed7059ec-6283-43f8-9947-11885e397cbf
2 Dimmer 00,CP60,1000W,Ch 21,,21,,21,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,-6.607m,-1.85m,8.176m,0°,-49.274°,0°,,0°,0°,No,0,0,No,0°,0°,,ee263b3a-c81a-40d0-a81d-436459d4fc1c
2 Dimmer 00,CP60,1000W,Ch 22,,22,,22,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,6.549m,-1.85m,8.176m,-0°,45.837°,-0°,,0°,0°,No,0,0,No,0°,0°,,ee263b3a-c81a-40d0-a81d-436459d4fc1c
2 Dimmer 00,CP60,1000W,Junior ETC 51,,51,,51,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,-6.578m,3.939m,8.176m,0°,-42.399°,0°,,0°,0°,No,0,0,No,0°,0°,,ee263b3a-c81a-40d0-a81d-436459d4fc1c
2 Dimmer 00,CP60,1000W,Junior ETC 52,,52,,52,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,6.549m,3.939m,8.176m,-0°,42.399°,-0°,,0°,0°,No,0,0,No,0°,0°,,ee263b3a-c81a-40d0-a81d-436459d4fc1c
2 Dimmer 00,CP60,1000W,Ch 85,,85,,85,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,-6.607m,-1.074m,8.176m,0°,-42.399°,0°,,0°,0°,No,0,0,No,0°,0°,,ee263b3a-c81a-40d0-a81d-436459d4fc1c
2 Dimmer 00,CP60,1000W,Ch 86,,86,,86,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,6.549m,-1.074m,8.176m,-0°,38.961°,-0°,,0°,0°,No,0,0,No,0°,0°,,ee263b3a-c81a-40d0-a81d-436459d4fc1c
2 Dimmer 00,CP60,1000W,Ch 87,,87,,87,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,-6.578m,1.014m,8.176m,0°,-36.669°,0°,,0°,0°,No,0,0,No,0°,0°,,ee263b3a-c81a-40d0-a81d-436459d4fc1c
2 Dimmer 00,CP60,1000W,Ch 88,,88,,88,1,1,Hátsó páholy,,,,,,-,1.8kg,Location,6.549m,1.014m,8.176m,-0°,34.377°,-0°,,0°,0°,No,0,0,No,0°,0°,,ee263b3a-c81a-40d0-a81d-436459d4fc1c
2 Dimmer 00,CP60,1000W,Tspot 67,,67,,67,1,1,Hátsó torony,,,,,,-,1.8kg,Location,-5.004m,4.753m,3.97m,0°,-60°,0°,,0°,0°,No,0,0,No,0°,0°,,fd3a9798-9ea0-4821-bf99-07aab21c587b
2 Dimmer 00,CP60,1000W,Tspot 68,,68,,68,1,1,Hátsó torony,,,,,,-,1.8kg,Location,4.989m,4.753m,3.961m,-0°,60°,-0°,,0°,0°,No,0,0,No,0°,0°,,fd3a9798-9ea0-4821-bf99-07aab21c587b
2 Dimmer 00,CP60,1000W,Tspot 69,,69,,69,1,1,Hátsó torony,,,,,,-,1.8kg,Location,-4.989m,4.753m,5.953m,0°,-50°,0°,,0°,0°,No,0,0,No,0°,0°,,fd3a9798-9ea0-4821-bf99-07aab21c587b
2 Dimmer 00,CP60,1000W,Tspot 70,,70,,70,1,1,Hátsó torony,,,,,,-,1.8kg,Location,4.97m,4.753m,5.946m,-0°,50°,-0°,,0°,0°,No,0,0,No,0°,0°,,fd3a9798-9ea0-4821-bf99-07aab21c587b
2 Dimmer 00,CP60,1000W,90'Pacific 53,,53,,53,1,1,Gégen karzat,,,,,,-,1.8kg,Location,-2.713m,7.074m,6.988m,0°,-33°,0°,,0°,0°,No,0,0,No,0°,0°,,91186831-d6cd-4acf-a1b9-a6ed7194bddf
2 Dimmer 00,CP60,1000W,90'Pacific 54,,54,,54,1,1,Gégen karzat,,,,,,-,1.8kg,Location,2.49m,7.074m,6.988m,-0°,33°,-0°,,0°,0°,No,0,0,No,0°,0°,,91186831-d6cd-4acf-a1b9-a6ed7194bddf
2 Dimmer 00,CP60,1000W,50' ETC 55,,55,,55,1,1,Gégen karzat,,,,,,-,1.8kg,Location,-2.663m,9.47m,6.988m,0°,-33°,0°,,0°,0°,No,0,0,No,0°,0°,,91186831-d6cd-4acf-a1b9-a6ed7194bddf
2 Dimmer 00,CP60,1000W,50' ETC 56,,56,,56,1,1,Gégen karzat,,,,,,-,1.8kg,Location,2.457m,9.47m,6.988m,-0°,33°,-0°,,0°,0°,No,0,0,No,0°,0°,,91186831-d6cd-4acf-a1b9-a6ed7194bddf
2 Dimmer 00,CP60,1000W,Pani 59,,59,,117,1,1,Gégen karzat,,,,,,-,1.8kg,Location,-1.641m,10.999m,6.988m,-50°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,91186831-d6cd-4acf-a1b9-a6ed7194bddf
2 Dimmer 00,CP60,1000W,Pani 60,,60,,60,1,1,Gégen karzat,,,,,,-,1.8kg,Location,1.639m,10.999m,6.988m,-50°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,91186831-d6cd-4acf-a1b9-a6ed7194bddf
2 Dimmer 00,CP60,1000W,Pani 61,,61,,119,1,1,Gégen karzat,,,,,,-,1.8kg,Location,-1.093m,10.999m,6.988m,-50°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,91186831-d6cd-4acf-a1b9-a6ed7194bddf
2 Dimmer 00,CP60,1000W,Pani 62,,62,,120,1,1,Gégen karzat,,,,,,-,1.8kg,Location,1.126m,10.999m,6.988m,-50°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,91186831-d6cd-4acf-a1b9-a6ed7194bddf
2 Dimmer 00,CP60,1000W,Pacific 89,,89,,89,1,1,Gégen karzat,,,,,,-,1.8kg,Location,0.477m,10.999m,6.988m,-50°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,91186831-d6cd-4acf-a1b9-a6ed7194bddf
2 Dimmer 00,CP60,1000W,Pacific 90,,90,,90,1,1,Gégen karzat,,,,,,-,1.8kg,Location,-0.48m,10.999m,6.988m,-50°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,91186831-d6cd-4acf-a1b9-a6ed7194bddf
3 Scroller Dimmer 00,50°,12.5W,Szinvalto 91,,91,,91,1,1,Gégen színváltók,,,,,,-,2.5kg,Location,-4.007m,5.958m,6.959m,-45.837°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,35591022-5174-412d-8559-b75f359566bb
3 Scroller Dimmer 00,50°,12.5W,Szinvalto 92,,92,,92,1,1,Gégen színváltók,,,,,,-,2.5kg,Location,-2.757m,5.958m,6.959m,-45.837°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,35591022-5174-412d-8559-b75f359566bb
3 Scroller Dimmer 00,50°,12.5W,Szinvalto 93,,93,,93,1,1,Gégen színváltók,,,,,,-,2.5kg,Location,-1.362m,5.958m,6.959m,-45.837°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,35591022-5174-412d-8559-b75f359566bb
2 Dimmer 00,CP60,1000W,Ch 94,,94,,94,1,1,Gégen színváltók,,,,,,-,1.8kg,Location,-0.825m,5.958m,6.959m,-45.837°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,35591022-5174-412d-8559-b75f359566bb
3 Scroller Dimmer 00,50°,12.5W,Szinvalto 95,,95,,95,1,1,Gégen színváltók,,,,,,-,2.5kg,Location,-0.394m,5.958m,6.959m,-45.837°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,35591022-5174-412d-8559-b75f359566bb
2 Dimmer 00,CP60,1000W,Ch 96,,96,,96,1,1,Gégen színváltók,,,,,,-,1.8kg,Location,1.077m,5.958m,6.959m,-45.837°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,35591022-5174-412d-8559-b75f359566bb
3 Scroller Dimmer 00,50°,12.5W,Szinvalto 97,,97,,97,1,1,Gégen színváltók,,,,,,-,2.5kg,Location,1.542m,5.958m,6.959m,-45.837°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,35591022-5174-412d-8559-b75f359566bb
3 Scroller Dimmer 00,50°,12.5W,Szinvalto 98,,98,,98,1,1,Gégen színváltók,,,,,,-,2.5kg,Location,2.866m,5.958m,6.959m,-45.837°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,35591022-5174-412d-8559-b75f359566bb
3 Scroller Dimmer 00,50°,12.5W,Szinvalto 99,,99,,99,1,1,Gégen színváltók,,,,,,-,2.5kg,Location,3.919m,5.958m,6.959m,-45.837°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,35591022-5174-412d-8559-b75f359566bb
3 Scroller Dimmer 00,50°,12.5W,Szinvalto 58,,58,,58,1,1,Gégen színváltók,,,,,,-,2.5kg,Location,0.612m,5.958m,6.959m,-45.837°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,35591022-5174-412d-8559-b75f359566bb
2 Dimmer 00,CP60,1000W,Ch 35,,35,,35,1,1,Pót utcák,,,,,,-,1.8kg,Location,-5.471m,-3.499m,0.211m,0°,-88.235°,0°,,0°,0°,No,0,0,No,0°,0°,,a10858d0-0924-4508-96ce-031c27124523
2 Dimmer 00,CP60,1000W,Ch 36,,36,,36,1,1,Pót utcák,,,,,,-,1.8kg,Location,0.1m,-4.538m,0.251m,94°,0°,-0°,,0°,0°,No,0,0,No,0°,0°,,a10858d0-0924-4508-96ce-031c27124523
2 Dimmer 00,CP60,1000W,Ch 39,,39,,39,1,1,Pót utcák,,,,,,-,1.8kg,Location,-4.678m,-4.599m,0.199m,40.107°,-90.527°,0°,,0°,0°,No,0,0,No,0°,0°,,a10858d0-0924-4508-96ce-031c27124523
2 Dimmer 00,CP60,1000W,Ch 40,,40,,40,1,1,Pót utcák,,,,,,-,1.8kg,Location,4.489m,-4.639m,0.2m,40.107°,90.527°,-0°,,0°,0°,No,0,0,No,0°,0°,,a10858d0-0924-4508-96ce-031c27124523
2 Dimmer 00,CP60,1000W,Tspot 63,,63,,63,1,1,Pót utcák,,,,,,-,1.8kg,Location,-5.497m,1.061m,0.22m,-0°,-90.527°,-0°,,0°,0°,No,0,0,No,0°,0°,,a10858d0-0924-4508-96ce-031c27124523
2 Dimmer 00,CP60,1000W,Tspot 64,,64,,64,1,1,Pót utcák,,,,,,-,1.8kg,Location,5.51m,1.101m,0.195m,0°,90.527°,0°,,0°,0°,No,0,0,No,0°,0°,,a10858d0-0924-4508-96ce-031c27124523
2 Dimmer 00,CP60,1000W,Tspot 65,,65,,65,1,1,Pót utcák,,,,,,-,1.8kg,Location,-5.506m,-4.11m,0.396m,-0°,-90.527°,-0°,,0°,0°,No,0,0,No,0°,0°,,a10858d0-0924-4508-96ce-031c27124523
2 Dimmer 00,CP60,1000W,Tspot 66,,66,,66,1,1,Pót utcák,,,,,,-,1.8kg,Location,5.501m,-4.11m,0.396m,-0°,89.381°,-0°,,0°,0°,No,0,0,No,0°,0°,,a10858d0-0924-4508-96ce-031c27124523
2 Dimmer 00,CP60,1000W,Csapda bal 71,,71,,71,1,1,Pót utcák,,,,,,-,1.8kg,Location,-1.787m,9.362m,0.214m,-87.09°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,a10858d0-0924-4508-96ce-031c27124523
2 Dimmer 00,CP60,1000W,Csapda Jobb 72,,72,,72,1,1,Pót utcák,,,,,,-,1.8kg,Location,-0.128m,9.362m,0.214m,-87.09°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,a10858d0-0924-4508-96ce-031c27124523
2 Dimmer 00,CP60,1000W,Csapda bal 73,,73,,73,1,1,Pót utcák,,,,,,-,1.8kg,Location,-2.349m,9.362m,0.214m,-87.09°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,a10858d0-0924-4508-96ce-031c27124523
2 Dimmer 00,CP60,1000W,csapda jobb 74,,74,,74,1,1,Pót utcák,,,,,,-,1.8kg,Location,2.557m,9.362m,0.214m,-87.09°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,a10858d0-0924-4508-96ce-031c27124523
2 Dimmer 00,CP60,1000W,Padlas 118,,118,,59,1,1,Padlás,,,,,,-,1.8kg,Location,-1.488m,2.389m,8.815m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,c95c25ca-efaa-42d8-a21a-c2b7e4a1157d
2 Dimmer 00,CP60,1000W,Padlas 119,,119,,61,1,1,Padlás,,,,,,-,1.8kg,Location,-2.401m,2.389m,8.815m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,c95c25ca-efaa-42d8-a21a-c2b7e4a1157d
2 Dimmer 00,CP60,1000W,Padlas 120,,120,,62,1,1,Padlás,,,,,,-,1.8kg,Location,1.312m,2.375m,8.815m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,c95c25ca-efaa-42d8-a21a-c2b7e4a1157d
2 Dimmer 00,CP60,1000W,Padlas 121,,121,,79,1,1,Padlás,,,,,,-,1.8kg,Location,-1.515m,-2.673m,8.815m,15°,-10°,0°,,0°,0°,No,0,0,No,0°,0°,,c95c25ca-efaa-42d8-a21a-c2b7e4a1157d
2 Dimmer 00,CP60,1000W,Padlas 122,,122,,84,1,1,Padlás,,,,,,-,1.8kg,Location,1.492m,-2.673m,8.815m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,c95c25ca-efaa-42d8-a21a-c2b7e4a1157d
2 Dimmer 00,CP60,1000W,Padlas 123,,123,,81,1,1,Padlás,,,,,,-,1.8kg,Location,-0.892m,-2.673m,8.815m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,c95c25ca-efaa-42d8-a21a-c2b7e4a1157d
2 Dimmer 00,CP60,1000W,Padlas 124,,124,,82,1,1,Padlás,,,,,,-,1.8kg,Location,0.835m,-2.673m,8.815m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,c95c25ca-efaa-42d8-a21a-c2b7e4a1157d
2 Dimmer 00,CP60,1000W,Padlas 125,,125,,83,1,1,Padlás,,,,,,-,1.8kg,Location,-0.364m,-2.673m,8.815m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,c95c25ca-efaa-42d8-a21a-c2b7e4a1157d
2 Dimmer 00,CP60,1000W,Padlas 126,,126,,80,1,1,Padlás,,,,,,-,1.8kg,Location,0.266m,-2.673m,8.815m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,c95c25ca-efaa-42d8-a21a-c2b7e4a1157d
2 Dimmer 00,CP60,1000W,Padlas 57,,57,,118,1,1,Padlás,,,,,,-,1.8kg,Location,2.119m,2.375m,8.815m,0°,-0°,0°,,0°,0°,No,0,0,No,0°,0°,,c95c25ca-efaa-42d8-a21a-c2b7e4a1157d
3 Scroller Dimmer 00,50°,12.5W,Bal 3 also,,100,,100,1,1,Utca színváltók,,,,,,-,2.5kg,Location,-5.471m,1.988m,0.196m,-0°,-90.527°,-0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
3 Scroller Dimmer 00,50°,12.5W,Bal 3 kozep,,101,,101,1,1,Utca színváltók,,,,,,-,2.5kg,Location,-5.478m,1.988m,1.001m,-0°,-90.527°,-0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
3 Scroller Dimmer 00,50°,12.5W,Bal 3 Folso,,102,,102,1,1,Utca színváltók,,,,,,-,2.5kg,Location,-5.487m,1.988m,2.006m,-0°,-90.527°,-0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
3 Scroller Dimmer 00,50°,12.5W,Bal 2 also,,103,,103,1,1,Utca színváltók,,,,,,-,2.5kg,Location,-5.498m,0m,0.218m,-0°,-90.527°,-0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
3 Scroller Dimmer 00,50°,12.5W,Bal 2 kozep,,104,,104,1,1,Utca színváltók,,,,,,-,2.5kg,Location,-5.506m,0m,1.002m,-0°,-90.527°,-0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
3 Scroller Dimmer 00,50°,12.5W,Bal 2 folso,,105,,105,1,1,Utca színváltók,,,,,,-,2.5kg,Location,-5.515m,0m,2.021m,-0°,-90.527°,-0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
3 Scroller Dimmer 00,50°,12.5W,Bal 1 also,,106,,106,1,1,Utca színváltók,,,,,,-,2.5kg,Location,-5.499m,-1.986m,0.19m,-0°,-90.527°,-0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
3 Scroller Dimmer 00,50°,12.5W,Bal 1 kozep,,107,,107,1,1,Utca színváltók,,,,,,-,2.5kg,Location,-5.506m,-1.986m,1m,-0°,-90.527°,-0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
3 Scroller Dimmer 00,50°,12.5W,Bal 1 folso,,108,,108,1,1,Utca színváltók,,,,,,-,2.5kg,Location,-5.516m,-1.986m,2.005m,-0°,-90.527°,-0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
3 Scroller Dimmer 00,50°,12.5W,Jobb 3 also,,109,,109,1,1,Utca színváltók,,,,,,-,2.5kg,Location,5.524m,1.997m,0.197m,0°,90.527°,0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
3 Scroller Dimmer 00,50°,12.5W,Jobb 3 kozep,,110,,110,1,1,Utca színváltók,,,,,,-,2.5kg,Location,5.531m,1.997m,1.003m,0°,90.527°,0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
3 Scroller Dimmer 00,50°,12.5W,Jobb 3 folso,,111,,111,1,1,Utca színváltók,,,,,,-,2.5kg,Location,5.541m,1.997m,2.012m,0°,90.527°,0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
3 Scroller Dimmer 00,50°,12.5W,Jobb 2 also,,112,,112,1,1,Utca színváltók,,,,,,-,2.5kg,Location,5.523m,0m,0.238m,0°,90.527°,0°,,0°,0°,No,0,0,No,0°,0°,,ecc7a527-5513-4e61-a9f7-999736e05dd4
